ip,timestamp,request,status,size,user_agent
213.196.35.121,5/Aug/2024:18:16:32 +0000,GET /services.html HTTP/1.1,404,3898,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
150.139.200.241,10/Aug/2024:15:51:02 +0000,DELETE /contact.html HTTP/1.1,404,3414,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
162.226.183.39,19/Aug/2024:10:51:58 +0000,GET /pricing.html HTTP/1.1,404,436,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
95.34.211.109,26/Aug/2024:21:03:41 +0000,PUT /contact.html HTTP/1.1,500,1819,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
211.218.68.109,23/Aug/2024:21:10:32 +0000,DELETE /about.html HTTP/1.1,404,3681,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
227.209.5.15,13/Aug/2024:08:05:13 +0000,GET /products.html HTTP/1.1,404,352,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
25.42.244.112,23/Aug/2024:15:58:10 +0000,PUT /about.html HTTP/1.1,404,4905,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
245.94.88.218,3/Aug/2024:22:39:13 +0000,POST /services.html HTTP/1.1,200,1442,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
157.77.229.107,27/Aug/2024:06:36:43 +0000,DELETE /products.html HTTP/1.1,200,4392,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
33.117.53.242,11/Aug/2024:11:18:19 +0000,POST /login HTTP/1.1,500,3164,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
40.182.142.181,11/Aug/2024:08:52:09 +0000,POST /pricing.html HTTP/1.1,404,1015,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
175.220.174.18,2/Aug/2024:09:01:20 +0000,POST /products.html HTTP/1.1,500,3157,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
53.95.73.155,13/Aug/2024:15:35:41 +0000,POST /index.html HTTP/1.1,302,3405,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
144.130.182.199,13/Aug/2024:14:55:44 +0000,GET /about.html HTTP/1.1,500,1379,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36"
